# Time[s], Head[m]
77580,5.30E-03
77640,5.00E-03
77700,5.50E-03
77760,5.20E-03
77820,5.00E-03
77880,5.50E-03
77940,5.20E-03
78000,5.30E-03
78060,5.30E-03
78120,5.20E-03
78180,5.30E-03
78240,5.20E-03
78300,5.50E-03
78360,2.15E-02
78420,6.10E-02
78480,6.02E-02
78540,6.07E-02
78600,6.53E-02
78660,7.00E-02
78720,7.54E-02
78780,8.22E-02
78840,9.18E-02
78900,9.84E-02
78960,1.06E-01
79020,1.13E-01
79080,1.19E-01
79140,1.25E-01
79200,1.31E-01
79260,1.37E-01
79320,1.43E-01
79380,1.49E-01
79440,1.54E-01
79500,1.60E-01
79560,1.65E-01
79620,1.71E-01
79680,1.76E-01
79740,1.82E-01
79800,1.87E-01
79860,1.93E-01
79920,1.98E-01
79980,2.04E-01
80040,2.09E-01
80100,2.15E-01
80160,2.21E-01
80220,2.26E-01
80280,2.33E-01
80340,2.38E-01
80400,2.44E-01
80460,2.50E-01
80520,2.55E-01
80580,2.58E-01
80640,2.60E-01
80700,2.60E-01
80760,2.60E-01
80820,2.60E-01
80880,2.60E-01
80940,2.59E-01
81000,2.60E-01
81060,2.59E-01
81120,2.59E-01
81180,2.59E-01
81240,2.60E-01
81300,2.60E-01
81360,2.60E-01
81420,2.61E-01
81480,2.60E-01
81540,2.61E-01
81600,2.61E-01
81660,2.60E-01
81720,2.61E-01
81780,2.60E-01
81840,2.60E-01
81900,2.60E-01
81960,2.56E-01
82020,2.52E-01
82080,2.50E-01
82140,2.47E-01
82200,2.45E-01
82260,2.43E-01
82320,2.41E-01
82380,2.38E-01
82440,2.36E-01
82500,2.34E-01
82560,2.32E-01
82620,2.29E-01
82680,2.27E-01
82740,2.24E-01
82800,2.22E-01
82860,2.20E-01
82920,2.18E-01
82980,2.16E-01
83040,2.14E-01
83100,2.11E-01
83160,2.09E-01
83220,2.07E-01
83280,2.05E-01
83340,2.03E-01
83400,2.01E-01
83460,1.99E-01
83520,1.96E-01
83580,1.94E-01
