R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R229	-800	-456	-800	-456	-800	-456	-800	-456	-800	-456	-800	-456	-34.427	-456
R230	-800	-458	-800	-458	-800	-458	-800	-458	-800	-458	-800	-458	-35.897	-458
R231	-800	-460	-800	-460	-800	-460	-800	-460	-800	-460	-800	-460	-37.459	-460
R232	-800	-462	-800	-462	-800	-462	-800	-462	-800	-462	-800	-462	-39.124	-462
R233	-800	-464	-800	-464	-800	-464	-800	-464	-800	-464	-800	-464	-40.907	-464
R234	-800	-466	-800	-466	-800	-466	-800	-466	-800	-466	-800	-466	-42.828	-466
R235	-800	-468	-800	-468	-800	-468	-800	-468	-800	-468	-800	-468	-44.901	-468
R236	-800	-470	-800	-470	-800	-470	-800	-470	-800	-470	-800	-470	-47.137	-470
R237	-800	-472	-800	-472	-800	-472	-800	-472	-800	-472	-800	-472	-49.565	-472
R238	-800	-474	-800	-474	-800	-474	-800	-474	-800	-474	-800	-474	-52.227	-474
R239	-800	-476	-800	-476	-800	-476	-800	-476	-800	-476	-800	-476	-55.163	-476
R240	-800	-478	-800	-478	-800	-478	-800	-478	-800	-478	-800	-478	-58.397	-478
R241	-800	-480	-800	-480	-800	-480	-800	-480	-800	-480	-800	-480	-61.998	-480
R242	-800	-482	-800	-482	-800	-482	-800	-482	-800	-482	-800	-482	-66.092	-482
R243	-800	-484	-800	-484	-800	-484	-800	-484	-800	-484	-800	-484	-70.751	-484
R244	-800	-486	-800	-486	-800	-486	-800	-486	-800	-486	-800	-486	-76.09	-486
R245	-800	-488	-800	-488	-800	-488	-800	-488	-800	-488	-800	-488	-82.432	-488
R246	-800	-490	-800	-490	-800	-490	-800	-490	-800	-490	-800	-490	-90.053	-490
R247	-800	-492	-800	-492	-800	-492	-800	-492	-800	-492	-800	-492	-99.568	-492
R248	-800	-494	-800	-494	-800	-494	-800	-494	-800	-494	-800	-494	-111.995	-494
R249	-800	-496	-800	-496	-800	-496	-800	-496	-800	-496	-800	-496	-128.771	-496
R250	-800	-498	-800	-498	-800	-498	-800	-498	-800	-498	-800	-498	-154.743	-498
R251	-800	-500	-800	-500	-800	-500	-800	-500	-800	-500	-800	-500	-202.083	-500
R252	-800	-502	-800	-502	-800	-502	-800	-502	-800	-502	-800	-502	-305.986	-502
R253	-800	-504	-800	-504	-800	-504	-800	-504	-800	-504	-800	-504	-583.328	-504
R254	-800	-506	-800	-506	-800	-506	-800	-506	-800	-506	-800	-506	-793.615	-506
R255	-800	-508	-800	-508	-800	-508	-800	-508	-800	-508	-800	-508	-799.943	-508
R256	-800	-510	-800	-510	-800	-510	-800	-510	-800	-510	-800	-510	-800	-510
R257	-800	-512	-800	-512	-800	-512	-800	-512	-800	-512	-800	-512	-800	-512
R258	-800	-514	-800	-514	-800	-514	-800	-514	-800	-514	-800	-514	-800	-514
R259	-800	-516	-800	-516	-800	-516	-800	-516	-800	-516	-800	-516	-800	-516
R260	-800	-518	-800	-518	-800	-518	-800	-518	-800	-518	-800	-518	-800	-518
R261	-800	-520	-800	-520	-800	-520	-800	-520	-800	-520	-800	-520	-800	-520
R262	-800	-522	-800	-522	-800	-522	-800	-522	-800	-522	-800	-522	-800	-522
R263	-800	-524	-800	-524	-800	-524	-800	-524	-800	-524	-800	-524	-800	-524
R264	-800	-526	-800	-526	-800	-526	-800	-526	-800	-526	-800	-526	-800	-526
R265	-800	-528	-800	-528	-800	-528	-800	-528	-800	-528	-800	-528	-800	-528
R266	-800	-530	-800	-530	-800	-530	-800	-530	-800	-530	-800	-530	-800	-530
R267	-800	-532	-800	-532	-800	-532	-800	-532	-800	-532	-800	-532	-800	-532
R268	-800	-534	-800	-534	-800	-534	-800	-534	-800	-534	-800	-534	-800	-534
R269	-800	-536	-800	-536	-800	-536	-800	-536	-800	-536	-800	-536	-800	-536
R270	-800	-538	-800	-538	-800	-538	-800	-538	-800	-538	-800	-538	-800	-538
R271	-800	-540	-800	-540	-800	-540	-800	-540	-800	-540	-800	-540	-800	-540
R272	-800	-542	-800	-542	-800	-542	-800	-542	-800	-542	-800	-542	-800	-542
